Q96FL8 CHEMBL1743126
Q14524 CHEMBL1980
P04150 CHEMBL2034
P20839 CHEMBL1822
P08581 CHEMBL3717
P26664 CHEMBL4620
P26664 CHEMBL4620
P05023 CHEMBL1807
P47989 CHEMBL1929
P16444 CHEMBL1989
Q7RTX1 CHEMBL3832641
P18089 CHEMBL1942
P48546 CHEMBL4383
Q7Z2W7 CHEMBL1075319
P01584 CHEMBL1909490
P42262 CHEMBL4016
Q9UBS5 CHEMBL2064
P22830 CHEMBL3879831
P08709 CHEMBL3991
Q9Y5Y9 CHEMBL5451
P08588 CHEMBL213
P34998 CHEMBL1800
P00750 CHEMBL1873
P40967 CHEMBL3712988
P08172 CHEMBL211
Q99720 CHEMBL287
P48443 CHEMBL2004
Q9NYK1 CHEMBL5936
P55157 CHEMBL2569
P21918 CHEMBL1850
Q9H244 CHEMBL2001
P62937 CHEMBL1949
P25103 CHEMBL249
P11362 CHEMBL3650
P05129 CHEMBL2938
Q14626 CHEMBL2050
Q9Y251 CHEMBL3921
P35372 CHEMBL233
P08069 CHEMBL1957
P49286 CHEMBL1946
Q05940 CHEMBL1893
O14746 CHEMBL2916
P69905 CHEMBL2887
P51787 CHEMBL1866
P51788 CHEMBL1628478
P23415 CHEMBL5845
P08514 CHEMBL212
P42081 CHEMBL2364156
P08138 CHEMBL4762
Q16288 CHEMBL5608
Q13936 CHEMBL1940
P07202 CHEMBL1839
P22083 CHEMBL4996
Q13464 CHEMBL3231
P13945 CHEMBL246
Q96RI1 CHEMBL2047
P47869 CHEMBL4956
P14867 CHEMBL1962
P17752 CHEMBL5689
P20648 CHEMBL2095173
P37088 CHEMBL1791
P53396 CHEMBL3720
P12461 CHEMBL2364680
P03956 CHEMBL332
P07550 CHEMBL210
P30874 CHEMBL1804
P54802 CHEMBL5465292
Q9Y5C1 CHEMBL3710485
P22748 CHEMBL3729
P25100 CHEMBL223
P16234 CHEMBL2007
P04035 CHEMBL402
Q965D5 CHEMBL4150
Q96KS0 CHEMBL3028
O95180 CHEMBL1859
P78348 CHEMBL1628477
P23415 CHEMBL5845
P13569 CHEMBL4051
Q05469 CHEMBL3590
Q15822 CHEMBL2109230
P17707 CHEMBL4181
Q01959 CHEMBL238
P15391 CHEMBL3390821
Q9UM73 CHEMBL4247
P03159 CHEMBL3833482
Q9UNQ0 CHEMBL5393
P03366 CHEMBL5823
P25025 CHEMBL2434
P05362 CHEMBL3070
P10635 CHEMBL289
Q02108 CHEMBL3137281
P10721 CHEMBL1936
P33681 CHEMBL2364157
P21802 CHEMBL4142
P37231 CHEMBL235
P41143 CHEMBL236
P80404 CHEMBL2044
P09619 CHEMBL1913
P19256 CHEMBL3790
P00533 CHEMBL203
P01116 CHEMBL2189121
Q92847 CHEMBL4616
Q15116 CHEMBL3307223
Q13639 CHEMBL1875
P49789 CHEMBL1795151
P62136 CHEMBL2164
P47901 CHEMBL1921
P19971 CHEMBL3106
P28702 CHEMBL1870
P47871 CHEMBL1985
P11926 CHEMBL1869
P23219 CHEMBL221
P16473 CHEMBL1963
P07949 CHEMBL2041
P41145 CHEMBL237
P01031 CHEMBL2364163
Q9BQB4 CHEMBL3580487
P42330 CHEMBL4681
P10253 CHEMBL2608
